Field,ID,RA_r,DEC_r,X_r,Y_r,s2n_r_psf,s2n_J0660_psf,s2n_i_psf,CLASS_STAR_r,CLASS_STAR_i,u_psf,J0378_psf,J0395_psf,J0410_psf,J0430_psf,g_psf,J0515_psf,r_psf,J0660_psf,i_psf,J0861_psf,z_psf,e_u_psf,e_J0378_psf,e_J0395_psf,e_J0410_psf,e_J0430_psf,e_g_psf,e_J0515_psf,e_r_psf,e_J0660_psf,e_i_psf,e_J0861_psf,e_z_psf,Name
b'MC0115',b'iDR4_3_MC0115_0766847',12.925968,-72.841,7981.06,9536.65,67.6875,99.0,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,15.208262,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.016,99.0,99.0,99.0,99.0,LIN_183
b'MC0115',b'iDR4_3_MC0115_1053289',12.465124,-73.73931,8699.1,3636.45,63.705883,99.0,99.0,1,99,99.0,99.0,99.0,99.0,16.76471,99.0,99.0,16.223202,99.0,99.0,17.59402,99.0,99.0,99.0,99.0,99.0,0.028,99.0,99.0,0.017,99.0,99.0,0.05,99.0,LHA_115-N_38
b'MC0113',b'iDR4_3_MC0113_0054489',5.9942446,-73.63444,3181.63,4345.25,83.30769,77.35714,49.227272,1,1,17.251163,17.105164,17.257164,17.378136,17.145136,16.684135,17.621136,16.516462,14.423462,17.291142,17.543327,17.427328,0.015,0.018,0.023,0.023,0.02,0.01,0.022,0.013,0.014,0.022,0.031,0.036,LHA_115-N_1
b'MC0134',b'iDR4_3_MC0134_0004069',10.192335,-75.272514,5655.89,1703.57,77.35714,120.333336,26.414635,1,1,17.69466,17.65366,17.47666,17.859886,17.557886,16.614885,17.697886,17.193542,15.146542,18.194088,18.485239,18.35524,0.016,0.027,0.031,0.038,0.031,0.009,0.026,0.014,0.009,0.041,0.073,0.065,SMP_SMC_4
b'MC0134',b'iDR4_3_MC0134_0013028',10.363091,-75.04761,5369.82,3175.82,18.355932,60.166668,6.8980894,1,1,20.044561,19.84456,99.0,99.0,99.0,19.40015,99.0,19.683111,17.606112,20.609028,99.0,99.0,0.076,0.111,99.0,99.0,99.0,0.042,99.0,0.059,0.018,0.157,99.0,99.0,MGPN_SMC_5
b'MC0134',b'iDR4_3_MC0134_0025526',11.926878,-74.8042,2685.08,4730.23,11.521276,41.653847,99.0,1,99,20.512262,99.0,99.0,99.0,99.0,20.20993,99.0,20.269054,18.117054,99.0,99.0,99.0,0.101,99.0,99.0,99.0,99.0,0.09,99.0,0.094,0.026,99.0,99.0,99.0,MGPN_SMC_7
b'MC0134',b'iDR4_3_MC0134_0080650',12.447839,-74.24445,1658.33,8363.21,60.166668,67.6875,26.414635,1,1,17.309326,17.126326,17.324326,17.405472,17.474472,17.600473,17.695473,17.813787,16.986788,18.215225,18.428778,18.422777,0.018,0.022,0.034,0.027,0.03,0.015,0.028,0.018,0.016,0.041,0.073,0.075,[M95]_3
b'MC0116',b'iDR4_3_MC0116_0016064',20.294338,-73.243034,2958.74,6902.98,83.30769,83.30769,49.227272,1,1,16.545742,16.480612,16.401613,16.862766,16.483267,15.616186,17.009186,16.040874,13.916874,17.205194,17.470993,17.214993,0.017,0.024,0.027,0.032,0.02,0.011,0.026,0.013,0.013,0.022,0.049,0.041,LHA_115-N_87
b'MC0116',b'iDR4_3_MC0116_0133247',17.465984,-73.34739,8278.93,6214.1,25.186047,23.543478,17.754099,1,1,99.0,99.0,99.0,99.0,99.0,19.710922,19.573923,18.651829,16.735828,19.166338,19.11386,19.110859,99.0,99.0,99.0,99.0,99.0,0.104,0.134,0.043,0.046,0.061,0.134,0.14,[MA93]_1709
b'MC0116',b'iDR4_3_MC0116_0215798',17.520233,-72.75766,8269.37,10075.87,21.66,7.1721854,16.66154,1,1,99.0,99.0,99.0,99.0,99.0,19.701818,19.482819,18.999937,16.889938,18.84428,18.920824,18.737823,99.0,99.0,99.0,99.0,99.0,0.091,0.12,0.05,0.151,0.065,0.108,0.095,LIN_485
b'MC0071',b'iDR4_3_MC0071_0041841',12.98487,-71.41234,4610.15,2583.84,90.25,83.30769,54.15,1,1,16.942318,16.834318,16.697317,17.274744,16.852743,15.464744,17.253744,16.213444,14.003445,17.364655,17.735075,17.363075,0.013,0.016,0.019,0.023,0.022,0.01,0.02,0.012,0.013,0.02,0.045,0.036,LHA_115-N_44
b'MC0133',b'iDR4_3_MC0133_0045702',5.8870406,-74.87504,4229.55,4297.52,11.4,29.27027,99.0,1,99,99.0,99.0,99.0,99.0,99.0,20.203144,99.0,20.35858,18.24858,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.068,99.0,0.095,0.037,99.0,99.0,99.0,MGPN_SMC_1
b'MC0095',b'iDR4_3_MC0095_0130726',18.167524,-72.896324,4750.18,1068.2,15.041667,33.84375,7.4689655,1,1,99.0,99.0,99.0,99.0,99.0,19.473087,99.0,19.552752,17.494751,20.549799,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.083,99.0,0.072,0.032,0.145,99.0,99.0,[MA93]_1762
b'MC0095',b'iDR4_3_MC0095_0427383',16.019323,-71.623535,9128.89,9349.1,4.133588,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.71911,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.262,99.0,99.0,99.0,99.0,[MA93]_1438
b'MC0114',b'iDR4_3_MC0114_0009837',11.107249,-73.86091,2528.56,2846.58,14.064935,51.57143,99.0,0,99,20.222794,99.0,99.0,99.0,99.0,19.65854,99.0,19.715117,17.586115,99.0,99.0,99.0,0.097,99.0,99.0,99.0,99.0,0.05,99.0,0.077,0.021,99.0,99.0,99.0,MGPN_SMC_6
b'MC0114',b'iDR4_3_MC0114_0039501',11.336026,-73.40286,2019.04,5831.23,22.102041,77.35714,10.617647,1,1,18.908367,18.221567,18.901567,19.49636,19.08657,17.69305,19.33805,18.454105,16.273106,19.661358,99.0,19.412146,0.05,0.038,0.077,0.097,0.074,0.025,0.074,0.049,0.014,0.102,99.0,0.114,LIN_66
b'MC0114',b'iDR4_3_MC0114_0056074',8.591567,-73.22264,7167.11,7052.81,51.57143,98.454544,25.186047,1,1,18.387178,18.213648,18.178648,18.761047,18.190258,17.027739,19.134739,17.734806,15.619806,18.958841,19.4433,19.046299,0.032,0.035,0.047,0.061,0.04,0.016,0.065,0.021,0.011,0.043,0.133,0.08,LHA_115-N_4
b'MC0114',b'iDR4_3_MC0114_0402546',10.789143,-73.13437,3002.54,7615.45,25.186047,57.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,19.921251,99.0,19.070257,16.763258,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.067,99.0,0.043,0.019,99.0,99.0,99.0,[MA93]_44
b'MC0114',b'iDR4_3_MC0114_0562811',10.365581,-73.785164,3870.36,3370.88,72.2,99.0,99.0,1,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,16.385801,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.015,99.0,99.0,99.0,99.0,LHA_115-N_6
b'MC0114',b'iDR4_3_MC0114_0618845',10.619203,-73.34832,3352.05,6221.88,27.76923,99.0,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.837524,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.039,99.0,99.0,99.0,99.0,SMP_SMC_7
b'MC0114',b'iDR4_3_MC0114_0678971',7.0428896,-72.97866,10157.11,8567.65,6.6441717,99.0,99.0,0,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,20.357248,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.163,99.0,99.0,99.0,99.0,MGPN_SMC_2
b'MC0114',b'iDR4_3_MC0114_0851715',11.4027195,-73.401215,1894.05,5838.06,34.935482,34.935482,41.653847,0,1,99.0,99.0,17.636566,99.0,99.0,17.98405,17.96105,18.131105,17.904106,18.298357,18.415146,18.499146,99.0,99.0,0.033,99.0,99.0,0.023,0.039,0.031,0.031,0.026,0.068,0.062,[JD2002]_2
